repo cwd             : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main
train_file           : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/data/hydralora_pseudo_v2fix_all_mocle_standard/train.json
output_dir           : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/outputs/mocle_hydralora_standard_hydraopt_shuffle_20260503_031729
tensorboard_log_dir  : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/outputs/mocle_hydralora_standard_hydraopt_shuffle_20260503_031729/tb_logs
model                : /vepfs-cnbja62d5d769987/liushaokun/models/Llama-3.2-1B
tokenizer            : /vepfs-cnbja62d5d769987/liushaokun/models/Llama-3.2-1B
requested device     : cuda
actual device        : cuda
cuda visible devices : 1
gpu name             : NVIDIA L20
gpu memory free/total: 44.11 GiB / 44.39 GiB
samples loaded       : 95523
shuffle train        : True
batch keys           : ['attention_mask', 'cluster_id', 'input_ids', 'labels']
batch input_ids shape: (1, 277)
batch labels shape   : (1, 277)
first batch cluster_id: 2
num experts          : 4
max steps            : 11940
lr scheduler         : cosine
warmup steps         : 358
logging steps        : 10
save steps           : 1000
supervised tokens    : 2
loading model...
model init           : from_pretrained
trainable params: 6,815,744 || all params: 1,242,630,144 || trainable%: 0.5484933737451648
train mode           : mocle
total params         : 1242630144
trainable params     : 6815744
MOCLE_ROUTE step=1 raw_cluster_id=3 expert=expert_3
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=0 expert=expert_0
MOCLE_ROUTE step=1 raw_cluster_id=0 expert=expert_0
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=2 expert=expert_2
TRAIN_STEP step=270 expert=expert_0 cluster_id=0 loss=0.744100 lr=1.508380e-04 grad_norm=1.103329 seq_len=241 tokens=241 step_time=0.073s
TRAIN_STEP step=280 expert=expert_0 cluster_id=0 loss=0.825145 lr=1.564246e-04 grad_norm=1.337160 seq_len=237 tokens=237 step_time=0.065s
TRAIN_STEP step=290 expert=expert_2 cluster_id=2 loss=1.001443 lr=1.620112e-04 grad_norm=1.301411 seq_len=274 tokens=274 step_time=0.068s
TRAIN_STEP step=300 expert=expert_2 cluster_id=2 loss=0.637862 lr=1.675978e-04 grad_norm=0.860591 seq_len=268 tokens=268 step_time=0.064s
TRAIN_STEP step=310 expert=expert_0 cluster_id=0 loss=0.637378 lr=1.731844e-04 grad_norm=1.278012 seq_len=271 tokens=271 step_time=0.069s
TRAIN_STEP step=320 expert=expert_1 cluster_id=1 loss=0.668111 lr=1.787709e-04 grad_norm=1.669989 seq_len=357 tokens=357 step_time=0.069s
TRAIN_STEP step=330 expert=expert_0 cluster_id=0 loss=0.683422 lr=1.843575e-04 grad_norm=1.381911 seq_len=218 tokens=218 step_time=0.070s
TRAIN_STEP step=340 expert=expert_0 cluster_id=0 loss=0.684059 lr=1.899441e-04 grad_norm=1.218134 seq_len=262 tokens=262 step_time=0.065s
TRAIN_STEP step=350 expert=expert_0 cluster_id=0 loss=0.575702 lr=1.955307e-04 grad_norm=0.902909 seq_len=250 tokens=250 step_time=0.064s
TRAIN_STEP step=360 expert=expert_0 cluster_id=0 loss=0.749832 lr=2.000000e-04 grad_norm=1.210642 seq_len=243 tokens=243 step_time=0.070s
TRAIN_STEP step=370 expert=expert_1 cluster_id=1 loss=0.779379 lr=1.999995e-04 grad_norm=1.252276 seq_len=354 tokens=354 step_time=0.069s
TRAIN_STEP step=380 expert=expert_2 cluster_id=2 loss=0.655943 lr=1.999982e-04 grad_norm=0.669647 seq_len=271 tokens=271 step_time=0.063s
TRAIN_STEP step=390 expert=expert_1 cluster_id=1 loss=0.597111 lr=1.999962e-04 grad_norm=1.091885 seq_len=350 tokens=350 step_time=0.069s
TRAIN_STEP step=400 expert=expert_0 cluster_id=0 loss=0.592350 lr=1.999935e-04 grad_norm=0.950370 seq_len=237 tokens=237 step_time=0.069s
